TOKEN_NO	TOKENS
1	ಹೊತ್ತು
2	ಹುಟಿತು
3	ಏರಿತು
4	ಇಳಿಯಿತು
5	ಕತ್ತಲಾಯಿತು
6	ತಿರುಗ
7	ಕಸ್ತೂರಿಯ
8	ಮನಸು
9	ಮಾತರ
10	ಸೈರಣೆ
11	ಹೊಂದನಿಲ
12	ಗುಡಿಸಲೊಳಗೆ
13	ಕುಂತು
14	ಕಣ್ಣುಬುಟರೆ
15	ಎದುರುಗಡೆಯೇ
16	ಮಗ
17	ಬಿಚ್ಚಿ
18	ಹಾಕಿರೊ
19	ಅಂಗಿ
20	ಹಂಗೇ
21	ಬಿದ್ದದೆ
22	ಅದ
23	ಮುಟ್ಟಿದ
24	ಸವುರಿದ
25	ತಾಳೋದಿಕಾಗದೆ
26	ಎತ್ತಿಕೊಂಡ
27	ತುಂಡು
28	ಗೋಡೆಗೆ
29	ಒರಗಿ
30	ಕುಂತಿರುತಿದ
31	ಜಾಗ
32	ಖಾಲಿ
33	ಖಾಲಿಯಾಗಿ
34	ಕಣ್ಣು
35	ಬುಡುತದೆ
36	ನೋಡೋದಿಕಾಗ಼ದೆ
37	ಈಚೆ
38	ಬಂದ
39	ಮುಂದಾರದಲಿ
40	ಸಗಣಿಯಿಂದ
41	ಸಾರಿಸಿ
42	ಚೌಕಬಾರ
43	ಆಡೋದಿಕೆ
44	ಕೊರೆದಿದ್ದ
45	ಆಟದಪಟ್ಟೆ
46	ಬಿಕೋ
47	ಅನುತದೆ
48	ಮುಂದೆ
49	ಹೋದ
50	ಕಸ್ತೂರಿಗೆ
51	ಅದೆಲ್ಲ
52	ಸೈಸೋದಿಕಾಗನಿಲ
53	ತಾಳಲಾರದೆ
54	ಅಂಗಿಯ
55	ಮಕಕ್ಕೆ
56	ಒತಿಕೊಂಡ
57	ಮಗನ
58	ದೇಹದ
59	ವಾಸನೆ
60	ಮೂಗಿಗೆ
61	ಇನ್ನೋಟು
62	ಒತಿಕೊಂಡು
63	ಆ
64	ಬೆವರು
65	ಕೊಳೆ
66	ಹೀರಿ
67	ಹೀರಿದ
68	ಮೆಣಸಿನಕಾಯ
69	ಕಿವುಚಿ
70	ಹೀರಿದಂಗಾಯಿತು
71	ಮೈ
72	ಮನಸಿಗೆ
73	ಕಿಚ್ಚು
74	ಹಚ್ಚಿದಂಗಾಗಿ
75	ಬೀದಿಗೆ
76	ಮೋಡದ
77	ಮರೆಯಲಿ
78	ಕಾಣನಿಲ
79	ಗೂಡ
80	ಬಳಿ
81	ಬೆಂಕಿಗಾಗಿ
82	ಕಾಯುತಾ
83	ಗೂಡು
84	ಕುಂತಿತು
85	ಚಲುವರಾಯಸೋಮಿ
