TOKEN_NO	TOKENS
1	ಹೊತ್ತು
2	ಹುಟಿತು
3	ಏರಿತು
4	ಇಳಿಯಿತು
5	ಕತ್ತಲಾಯಿತು
6	ತಿರುಗ
7	ಹೊತ್ತು
8	ಹುಟಿತು
9	ಏರಿತು
10	ಇಳಿಯಿತು
11	ಕತ್ತಲಾಯಿತು
12	ಕಸ್ತೂರಿಯ
13	ಮನಸು
14	ಮಾತರ
15	ಸೈರಣೆ
16	ಹೊಂದನಿಲ
17	.
18	ಗುಡಿಸಲೊಳಗೆ
19	ಕುಂತು
20	ಕಣ್ಣುಬುಟರೆ
21	ಎದುರುಗಡೆಯೇ
22	ಮಗ
23	ಬಿಚ್ಚಿ
24	ಹಾಕಿರೊ
25	ಅಂಗಿ
26	ಹಂಗೇ
27	ಬಿದ್ದದೆ
28	.
29	ಅದ
30	ಮುಟ್ಟಿದ
31	.
32	ಸವುರಿದ
33	.
34	ತಾಳೋದಿಕಾಗದೆ
35	ಎತ್ತಿಕೊಂಡ
36	.
37	ಮಗ
38	ತುಂಡು
39	ಗೋಡೆಗೆ
40	ಒರಗಿ
41	ಕುಂತಿರುತಿದ
42	ಜಾಗ
43	ಖಾಲಿ
44	ಖಾಲಿಯಾಗಿ
45	ಕಣ್ಣು
46	ಬುಡುತದೆ
47	.
48	ಅದ
49	ನೋಡೋದಿಕಾಗ಼ದೆ
50	ಈಚೆ
51	ಬಂದ
52	.
53	ಮುಂದಾರದಲಿ
54	ಸಗಣಿಯಿಂದ
55	ಸಾರಿಸಿ
56	ಚೌಕಬಾರ
57	ಆಡೋದಿಕೆ
58	ಕೊರೆದಿದ್ದ
59	ಆಟದಪಟ್ಟೆ
60	ಬಿಕೋ
61	ಅನುತದೆ
62	.
63	ಮುಂದೆ
64	ಹೋದ
65	.
66	ಕಸ್ತೂರಿಗೆ
67	ಅದೆಲ್ಲ
68	ಸೈಸೋದಿಕಾಗನಿಲ
69	.
70	ತಾಳಲಾರದೆ
71	ಅಂಗಿಯ
72	ಮಕಕ್ಕೆ
73	ಒತಿಕೊಂಡ
74	.
75	ಮಗನ
76	ದೇಹದ
77	ವಾಸನೆ
78	ಮೂಗಿಗೆ
79	ಇಳಿಯಿತು
80	.
81	ಇನ್ನೋಟು
82	ಒತಿಕೊಂಡು
83	ಆ
84	ಬೆವರು
85	,
86	ಕೊಳೆ
87	ಹೀರಿ
88	ಹೀರಿದ
89	.
90	ಮೆಣಸಿನಕಾಯ
91	ಕಿವುಚಿ
92	ಹೀರಿದಂಗಾಯಿತು
93	.
94	ಮೈ
95	-
96	ಮನಸಿಗೆ
97	ಕಿಚ್ಚು
98	ಹಚ್ಚಿದಂಗಾಗಿ
